,school.id,school.name,school.region,school.region.name,school.province,school.cityhall,school.division,school.citymuni,school.district,school.legdistrict,school.type,school.abbrev,school.previousname,school.mother.id,school.address,school.established,school.classification,school.classification2,school.curricularclass,school.organization,school.cityincome,school.cityclass,school.urban,School ID_x,Kinder Male,Kinder Female,Grade 1 Male,Grade 1 Female,Grade 2 Male,Grade 2 Female,Grade 3 Male,Grade 3 Female,Grade 4 Male,Grade 4 Female,Grade 5 Male,Grade 5 Female,Grade 6 Male,Grade 6 Female,SPED NG Male,SPED NG Female,Grade 7 Male,Grade 7 Female,Grade 8 Male,Grade 8 Female,Grade 9 Male,Grade 9 Female,Grade 10 Male,Grade 10 Female,Grade 11 Male,Grade 11 Female,Grade 12 Male,Grade 12 Female, school.mooe ,School ID_y,rooms.standard.academic,rooms.standard.unused,rooms.nonstandard.academic,rooms.nonstandard.unused,teachers.instructor,teachers.mobile,teachers.regular,teachers.sped,MOOE
26750,125301,Pitogo CES,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA DEL SUR,Zamboanga del Sur,PITOGO,Pitogo,2nd District,School with no Annexes,none,-none,125301.0,-none,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,125301.0,75.0,66.0,147.0,137.0,152.0,136.0,190.0,149.0,148.0,122.0,102.0,108.0,93.0,85.0,1.0,3.0,,,,,,,,,,,,,699000.0,125301.0,31.0,0.0,0.0,0.0,0.0,8.0,32.0,1.0,699000.0
26784,126204,Putik CS,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,Zamboanga City,ZAMBOANGA CITY,Putik,2nd District,School with no Annexes,,-,126204.0,-,1/1/1944,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Partially Urban,126204.0,206.0,221.0,293.0,282.0,298.0,258.0,331.0,294.0,281.0,277.0,261.0,243.0,232.0,227.0,22.0,10.0,,,,,,,,,,,,,1382000.0,126204.0,64.0,0.0,0.0,0.0,0.0,8.0,64.0,1.0,1382000.0
26786,125327,R. Magsaysay CES,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA DEL SUR,Zamboanga del Sur,RAMON MAGSAYSAY (LIARGO),Ramon Magsaysay,1st District,School with no Annexes,RMCS,-none,125327.0,-PUROK 2,1/1/1953,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,125327.0,23.0,28.0,37.0,26.0,26.0,27.0,33.0,46.0,54.0,38.0,29.0,30.0,36.0,29.0,2.0,2.0,,,,,,,,,,,,,272000.0,125327.0,13.0,0.0,1.0,0.0,0.0,3.0,14.0,1.0,272000.0
26793,126103,Recodo ES,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,Zamboanga City,ZAMBOANGA CITY,Ayala,1st District,School with no Annexes,,-,126103.0,PUROK 8,1/1/1958,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Partially Urban,126103.0,122.0,134.0,296.0,276.0,251.0,262.0,333.0,249.0,201.0,219.0,173.0,173.0,131.0,171.0,5.0,7.0,,,,,,,,,,,,,1190000.0,126103.0,61.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,1190000.0
26805,124488,Roxas CS,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL NORTE,ZAMBOANGA DEL NORTE,Zamboanga del Norte,PRES. MANUEL A. ROXAS,Roxas I (Manuel A. Roxas),2nd District,School with no Annexes,,-,124488.0,-,1/1/2000,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 15 M or more but less than P 25 M,,Partially Urban,124488.0,29.0,25.0,52.0,45.0,54.0,40.0,78.0,65.0,71.0,76.0,57.0,46.0,46.0,47.0,0.0,0.0,,,,,,,,,,,,,516000.0,124488.0,30.0,0.0,0.0,0.0,0.0,5.0,32.0,3.0,516000.0
26806,195543,Roxas Special Education Center,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL NORTE,ZAMBOANGA DEL NORTE,Zamboanga del Norte,PRES. MANUEL A. ROXAS,Roxas I (Manuel A. Roxas),2nd District,School with no Annexes,,Roxas Sped Center,195543.0,"Langatian, Roxas, ZN",5/18/2013,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 15 M or more but less than P 25 M,,Partially Urban,195543.0,14.0,31.0,15.0,13.0,22.0,11.0,9.0,11.0,4.0,17.0,10.0,17.0,10.0,15.0,4.0,9.0,,,,,,,,,,,,,102000.0,,,,,,0.0,0.0,0.0,0.0,102000.0
26824,124623,Salug CS,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL NORTE,ZAMBOANGA DEL NORTE,Zamboanga del Norte,SALUG,Salug I,3rd District,School with no Annexes,,-,124623.0,RAMON MAGSAYSAY,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,124623.0,72.0,74.0,119.0,108.0,131.0,102.0,134.0,115.0,108.0,96.0,105.0,101.0,97.0,93.0,16.0,18.0,,,,,,,,,,,,,664000.0,124623.0,28.0,0.0,0.0,0.0,0.0,8.0,33.0,0.0,664000.0
26853,125205,San Isidro CES,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA DEL SUR,Zamboanga del Sur,MAHAYAG,Mahayag South,1st District,School with no Annexes,,-,125205.0,Purok Antolihaw,1/1/1949,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,125205.0,25.0,23.0,27.0,32.0,40.0,20.0,41.0,24.0,36.0,44.0,28.0,26.0,21.0,24.0,2.0,6.0,,,,,,,,,,,,,248000.0,125205.0,13.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,248000.0
26890,125348,San Miguel CES,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA DEL SUR,Zamboanga del Sur,SAN MIGUEL,San Miguel,2nd District,School with no Annexes,SMCES,,125348.0,"Poblacion, San iguel, Zamboaga del Sur",1/1/1962,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,125348.0,27.0,30.0,50.0,31.0,49.0,43.0,59.0,46.0,58.0,56.0,49.0,31.0,37.0,41.0,5.0,2.0,,,,,,,,,,,,,347000.0,125348.0,18.0,0.0,0.0,0.0,0.0,3.0,20.0,1.0,347000.0
26897,125371,San Pablo CES,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA DEL SUR,Zamboanga del Sur,SAN PABLO,San Pablo,2nd District,School with no Annexes,SPCES,-n/a,125371.0,Purok Matinabangon,1/1/1949,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,125371.0,35.0,32.0,48.0,44.0,61.0,52.0,57.0,53.0,58.0,48.0,37.0,37.0,43.0,49.0,5.0,3.0,,,,,,,,,,,,,384000.0,125371.0,24.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,384000.0
26904,126219,San Roque Elementary School,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,Zamboanga City,ZAMBOANGA CITY,Sta. Maria,1st District,School with no Annexes,,San Roque ES,126219.0,San Roque,1/1/1946,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Partially Urban,126219.0,160.0,149.0,275.0,252.0,273.0,257.0,280.0,253.0,249.0,221.0,203.0,209.0,214.0,211.0,5.0,4.0,,,,,,,,,,,,,1288000.0,126219.0,54.0,0.0,0.0,0.0,0.0,6.0,57.0,0.0,1288000.0
27018,195535,Sindangan Special Education Center,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL NORTE,ZAMBOANGA DEL NORTE,Zamboanga del Norte,SINDANGAN,Sindangan Central,2nd District,Mobile School(s)/Center(s),SSEC,Sindangan PDS - SPED Center,195535.0,P. Burgos,1/1/2008,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,195535.0,7.0,12.0,38.0,36.0,29.0,37.0,35.0,30.0,36.0,34.0,33.0,34.0,30.0,29.0,25.0,23.0,,,,,,,,,,,,,251000.0,195535.0,10.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,251000.0
27028,126104,Sinunuc ES,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,Zamboanga City,ZAMBOANGA CITY,Ayala,1st District,School with no Annexes,,-,126104.0,-,1/1/1948,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Partially Urban,126104.0,168.0,188.0,357.0,305.0,261.0,218.0,358.0,303.0,227.0,199.0,207.0,208.0,174.0,180.0,13.0,8.0,,,,,,,,,,,,,1206000.0,126104.0,52.0,0.0,0.0,0.0,0.0,7.0,57.0,0.0,1206000.0
27054,126113,Southcom ES,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,Zamboanga City,ZAMBOANGA CITY,Baliwasan,1st District,School with no Annexes,,-,126113.0,"SOUTHCOM VILLAGE, UPPER",1/1/1979,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Partially Urban,126113.0,231.0,206.0,352.0,277.0,288.0,264.0,279.0,295.0,281.0,264.0,230.0,253.0,248.0,243.0,1.0,2.0,,,,,,,,,,,,,1417000.0,126113.0,69.0,0.0,0.0,0.0,0.0,8.0,73.0,2.0,1417000.0
27056,197501,Special Education (SPED) Center,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL NORTE,ZAMBOANGA DEL NORTE,Dipolog City,DIPOLOG CITY (Capital),Dipolog City North,2nd District,School with no Annexes,,-,197501.0,Rizal Avenue,6/1/2001,Elementary,DepED Managed,Elementary,Monograde,P 240 M or more but less than P 320 M,Component City,Partially Urban,197501.0,51.0,61.0,17.0,26.0,27.0,22.0,27.0,23.0,24.0,27.0,29.0,24.0,28.0,21.0,47.0,28.0,,,,,,,,,,,,,272000.0,197501.0,11.0,0.0,0.0,0.0,0.0,2.0,13.0,8.0,272000.0
27071,126220,Sta. Maria Central School,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,Zamboanga City,ZAMBOANGA CITY,Sta. Maria,1st District,School with no Annexes,SMCS,Sta. Maria Elementary School,126220.0,Gov. Ramos,1/1/1920,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Partially Urban,126220.0,177.0,193.0,339.0,284.0,330.0,299.0,318.0,282.0,305.0,268.0,290.0,278.0,238.0,226.0,47.0,22.0,,,,,,,,,,,,,1545000.0,126220.0,65.0,0.0,0.0,0.0,0.0,14.0,67.0,4.0,1545000.0
27122,125804,Surabay CES,Region IX,Zamboanga Peninsula,ZAMBOANGA SIBUGAY,ZAMBOANGA SIBUGAY,Zamboanga Sibugay,ROSELLER LIM,R.T. Lim,2nd District,School with no Annexes,,-,125804.0,-,6/1/1950,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,125804.0,51.0,33.0,67.0,69.0,101.0,65.0,115.0,73.0,86.0,88.0,86.0,63.0,72.0,72.0,16.0,9.0,,,,,,,,,,,,,541000.0,125804.0,40.0,0.0,0.0,0.0,0.0,7.0,27.0,4.0,541000.0
27126,125415,Tabina CES,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA DEL SUR,Zamboanga del Sur,TABINA,Tabina,2nd District,School with no Annexes,,-,125415.0,Poblacion,1/1/1950,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,125415.0,69.0,57.0,53.0,60.0,82.0,57.0,81.0,63.0,75.0,86.0,76.0,59.0,46.0,60.0,7.0,5.0,,,,,,,,,,,,,446000.0,125415.0,21.0,0.0,0.0,0.0,0.0,7.0,25.0,0.0,446000.0
27133,126247,Tagasilay ES,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,Zamboanga City,ZAMBOANGA CITY,Vitali,2nd District,School with no Annexes,,-,126247.0,,1/1/1949,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Partially Urban,126247.0,56.0,49.0,97.0,89.0,70.0,79.0,142.0,106.0,65.0,84.0,62.0,55.0,56.0,53.0,4.0,3.0,,,,,,,,,,,,,417000.0,126247.0,21.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,417000.0
27154,126228,Talon-Talon ES,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,Zamboanga City,ZAMBOANGA CITY,Talon-Talon,2nd District,School with no Annexes,,-,126228.0,-Talon-Talon,1/1/1938,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Partially Urban,126228.0,237.0,295.0,517.0,529.0,585.0,488.0,530.0,466.0,523.0,438.0,439.0,451.0,371.0,409.0,13.0,10.0,,,,,,,,,,,,,2379000.0,126228.0,106.0,0.0,0.0,0.0,0.0,6.0,113.0,0.0,2379000.0
27156,126194,Taluksangay ES,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,Zamboanga City,ZAMBOANGA CITY,Mercedes,2nd District,School with no Annexes,,-,126194.0,Purok 2,1/1/1925,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Partially Urban,126194.0,86.0,68.0,122.0,114.0,129.0,141.0,143.0,154.0,181.0,189.0,97.0,106.0,81.0,73.0,8.0,5.0,,,,,,,,,,,,,624000.0,126194.0,17.0,0.0,0.0,0.0,0.0,2.0,33.0,0.0,624000.0
27166,196024,Tambulig CES SPED,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA DEL SUR,Zamboanga del Sur,TAMBULIG,Tambulig,1st District,School with no Annexes,Tambulig SPED,-,196024.0,Purok 1,1/1/2005,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,196024.0,13.0,13.0,7.0,21.0,11.0,13.0,10.0,12.0,9.0,19.0,10.0,15.0,11.0,20.0,0.0,1.0,,,,,,,,,,,,,132000.0,196024.0,6.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,132000.0
27198,126229,Tetuan CS,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,Zamboanga City,ZAMBOANGA CITY,Tetuan,2nd District,School with no Annexes,,-,126229.0,Dr. J. Estrada,1/1/1923,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Partially Urban,126229.0,250.0,232.0,416.0,382.0,358.0,272.0,350.0,305.0,343.0,331.0,340.0,246.0,315.0,298.0,23.0,13.0,,,,,,,,,,,,,1816000.0,126229.0,75.0,0.0,0.0,0.0,0.0,23.0,79.0,10.0,1816000.0
27251,196522,Titay SPED School,Region IX,Zamboanga Peninsula,ZAMBOANGA SIBUGAY,ZAMBOANGA SIBUGAY,Zamboanga Sibugay,TITAY,Titay,2nd District,School with no Annexes,,,196522.0,-,6/1/2007,Elementary,DepED Managed,Kinder & Elementary,Combined Monograde and Multigrade,P 45 M or more but less than P 55 M,,Partially Urban,196522.0,17.0,16.0,16.0,18.0,15.0,26.0,19.0,27.0,23.0,27.0,17.0,21.0,20.0,20.0,26.0,18.0,,,,,,,,,,,,,172000.0,196522.0,9.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,172000.0
27256,126048,Tomas Sagun ES,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA DEL SUR,Pagadian City,PAGADIAN CITY (Capital),Pagadian City Central District,1st District,School with no Annexes,TSES,-NONE,126048.0,San Jose Heights,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 320 M or more but less than P 400 M,Component City,Partially Urban,126048.0,28.0,16.0,39.0,21.0,31.0,13.0,43.0,34.0,40.0,32.0,31.0,45.0,31.0,25.0,47.0,24.0,,,,,,,,,,,,,256000.0,126048.0,15.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,256000.0
27277,196026,Tukuran SPED School,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA DEL SUR,Zamboanga del Sur,TUKURAN,Tukuran West,1st District,School with no Annexes,SPED,,196026.0,Purok Magsaysay,1/1/1950,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,196026.0,22.0,35.0,35.0,41.0,35.0,33.0,46.0,47.0,29.0,41.0,34.0,29.0,21.0,28.0,9.0,5.0,,,,,,,,,,,,,261000.0,196026.0,12.0,0.0,0.0,0.0,0.0,5.0,11.0,1.0,261000.0
27281,126056,Tulawas ES,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA DEL SUR,Pagadian City,PAGADIAN CITY (Capital),Pagadian City East District,1st District,School with no Annexes,,-,126056.0,2 Duranta,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 320 M or more but less than P 400 M,Component City,Partially Urban,126056.0,10.0,10.0,13.0,12.0,10.0,12.0,19.0,12.0,17.0,22.0,21.0,16.0,12.0,16.0,7.0,6.0,,,,,,,,,,,,,141000.0,126056.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,141000.0
27292,125909,Tungawan CES,Region IX,Zamboanga Peninsula,ZAMBOANGA SIBUGAY,ZAMBOANGA SIBUGAY,Zamboanga Sibugay,TUNGAWAN,Tungawan,2nd District,School with no Annexes,-,-,125909.0,"C.P. Garcia, Street.",6/1/1964,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,125909.0,46.0,33.0,80.0,78.0,78.0,66.0,80.0,82.0,96.0,96.0,89.0,85.0,88.0,80.0,13.0,7.0,,,,,,,,,,,,,486000.0,125909.0,29.0,0.0,0.0,0.0,0.0,6.0,22.0,1.0,486000.0
27362,126261,Zamboanga East CS,Region IX,Zamboanga Peninsula,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,Zamboanga City,ZAMBOANGA CITY,Zamboanga Central District,1st District,School with no Annexes,,,126261.0,M. Calixto St.,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Partially Urban,126261.0,64.0,55.0,160.0,139.0,93.0,96.0,152.0,129.0,100.0,103.0,81.0,98.0,81.0,86.0,0.0,0.0,,,,,,,,,,,,,786000.0,126261.0,47.0,0.0,0.0,0.0,0.0,11.0,36.0,3.0,786000.0
27386,126924,Alangilan IS,Region X,Northern Mindanao,CAMIGUIN,CAMIGUIN,Camiguin,SAGAY,Sagay-Guinsiliban,Lone District,School with no Annexes,,Alangilan Elementary School,126924.0,"Alangilan, Sagay, Camiguin",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 15 M or more but less than P 25 M,,Partially Urban,126924.0,29.0,16.0,21.0,17.0,18.0,15.0,21.0,17.0,19.0,27.0,19.0,14.0,17.0,14.0,13.0,8.0,,,,,,,,,,,,,173000.0,126924.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,173000.0
27396,127244,Aloran Central School,Region X,Northern Mindanao,MISAMIS OCCIDENTAL,MISAMIS OCCIDENTAL,Misamis Occidental,ALORAN,Aloran,1st District,School with no Annexes,,Aloran CS,127244.0,"Dalisay, Aloran, Misamis Occidental Dalisay",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,127244.0,16.0,36.0,52.0,42.0,55.0,61.0,64.0,50.0,82.0,68.0,56.0,68.0,84.0,72.0,19.0,18.0,,,,,,,,,,,,,440000.0,127244.0,24.0,0.0,0.0,0.0,0.0,6.0,23.0,1.0,440000.0
27397,127584,Alubijid CS,Region X,Northern Mindanao,MISAMIS ORIENTAL,MISAMIS ORIENTAL,Misamis Oriental,ALUBIJID,Alubijid,2nd District,School with no Annexes,,-,127584.0,Abellanosa St. Poblacion,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,127584.0,61.0,47.0,73.0,70.0,73.0,67.0,89.0,65.0,83.0,86.0,79.0,78.0,85.0,75.0,13.0,6.0,,,,,,,,,,,,,436000.0,127584.0,8.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,436000.0
27441,126939,Bacolod CES,Region X,Northern Mindanao,LANAO DEL NORTE,LANAO DEL NORTE,Lanao del Norte,BACOLOD,Bacolod,1st District,School with no Annexes,,-Bacolod Central School,126939.0,"Pob. Bacolod,Lanao del Norte Poblacion",6/1/1942,Elementary,DepED Managed,Elementary,Monograde,P 25 M or more but less than P 35 M,,Partially Urban,126939.0,49.0,38.0,67.0,56.0,57.0,51.0,58.0,58.0,56.0,55.0,66.0,57.0,56.0,56.0,8.0,8.0,,,,,,,,,,,,,411000.0,126939.0,19.0,0.0,0.0,0.0,0.0,5.0,21.0,0.0,411000.0
27487,127602,Balingasag CS,Region X,Northern Mindanao,MISAMIS ORIENTAL,MISAMIS ORIENTAL,Misamis Oriental,BALINGASAG,Balingasag North (Balingasag District),1st District,School with no Annexes,,-,127602.0,Brgy 1 & 4 Poblacion,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 45 M or more but less than P 55 M,,Partially Urban,127602.0,119.0,106.0,173.0,147.0,198.0,168.0,222.0,155.0,223.0,210.0,165.0,164.0,143.0,150.0,44.0,24.0,,,,,,,,,,,,,1009000.0,127602.0,44.0,0.0,0.0,0.0,0.0,10.0,45.0,1.0,1009000.0
27516,126558,Bangcud CES,Region X,Northern Mindanao,BUKIDNON,BUKIDNON,Malaybalay City,CITY MALAYBALAY (Capital),Malaybalay City South District,2nd District,School with no Annexes,,Bangcud Elementary School,126558.0,"Purok 2 Sayre Highway, Bangcud, Malaybalay City",6/1/1946,Elementary,DepED Managed,Kinder & Elementary,Monograde,P 400 M or more,Component City,Partially Urban,126558.0,65.0,79.0,143.0,106.0,125.0,107.0,123.0,111.0,124.0,127.0,91.0,92.0,84.0,81.0,13.0,4.0,,,,,,,,,,,,,570000.0,126558.0,22.0,0.0,0.0,0.0,0.0,3.0,27.0,1.0,570000.0
27569,126908,Baylao ES,Region X,Northern Mindanao,CAMIGUIN,CAMIGUIN,Camiguin,MAMBAJAO (Capital),Mambajao,Lone District,School with no Annexes,,Baylao Elementary School,126908.0,"Baylao, Mambajao, Camiguin",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 35 M or more but less than P 45 M,,Partially Urban,126908.0,24.0,23.0,26.0,25.0,23.0,19.0,29.0,24.0,28.0,24.0,15.0,24.0,15.0,14.0,3.0,6.0,,,,,,,,,,,,,166000.0,126908.0,8.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,166000.0
27615,127960,Bonbon ES,Region X,Northern Mindanao,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Cagayan de Oro City,CAGAYAN DE ORO CITY (Capital),Cagayan de Oro City North II District,1st District,School with no Annexes,,Bonbon Elementary,127960.0,"Bonbon, Cagayan de Oro City",1/1/2002,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Urban,127960.0,105.0,116.0,96.0,87.0,116.0,93.0,115.0,102.0,119.0,82.0,90.0,95.0,97.0,69.0,5.0,3.0,,,,,,,,,,,,,606000.0,127960.0,22.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,606000.0
27644,127949,Bugo CS,Region X,Northern Mindanao,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Cagayan de Oro City,CAGAYAN DE ORO CITY (Capital),Cagayan de Oro City East II District,2nd District,School with no Annexes,BCS,-Bugo Central School,127949.0,"Bantiles, Bugo",1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Urban,127949.0,201.0,166.0,187.0,181.0,212.0,220.0,249.0,230.0,217.0,232.0,210.0,197.0,170.0,206.0,14.0,8.0,,,,,,,,,,,,,1156000.0,127949.0,40.0,0.0,0.0,0.0,0.0,6.0,57.0,0.0,1156000.0
27657,127998,Bulua CS,Region X,Northern Mindanao,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Cagayan de Oro City,CAGAYAN DE ORO CITY (Capital),Cagayan de Oro City West II District,1st District,School with no Annexes,,NONE,127998.0,Macapagal Drive Bulua,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Urban,127998.0,266.0,235.0,347.0,323.0,350.0,329.0,401.0,291.0,326.0,352.0,346.0,344.0,298.0,327.0,9.0,7.0,,,,,,,,,,,,,1709000.0,127998.0,56.0,0.0,0.0,0.0,0.0,11.0,72.0,0.0,1709000.0
27730,127964,Camaman-An ES,Region X,Northern Mindanao,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Cagayan de Oro City,CAGAYAN DE ORO CITY (Capital),Cagayan de Oro City South District,2nd District,School with no Annexes,,-,127964.0,Camaman-an,1/1/2000,Elementary,DepED Managed,Elementary,Monograde,P 400 M or more,Highly Urbanized City,Urban,127964.0,299.0,279.0,247.0,207.0,224.0,224.0,298.0,260.0,287.0,265.0,247.0,249.0,229.0,222.0,10.0,10.0,,,,,,,,,,,,,1325000.0,127964.0,43.0,0.0,0.0,0.0,0.0,8.0,63.0,0.0,1325000.0
27764,126372,Capitan Bayong ES,Region X,Northern Mindanao,BUKIDNON,BUKIDNON,Bukidnon,IMPASUG-ONG,Impasug-Ong I,2nd District,School with no Annexes,,,126372.0,Zone 3 Capitan Bayong,6/1/1963,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,126372.0,37.0,52.0,54.0,39.0,67.0,41.0,51.0,58.0,44.0,53.0,26.0,34.0,23.0,34.0,8.0,4.0,,,,,,,,,,,,,254000.0,126372.0,8.0,0.0,2.0,0.0,0.0,1.0,9.0,0.0,254000.0
27802,127940,City CS,Region X,Northern Mindanao,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (Capital),Cagayan de Oro City,CAGAYAN DE ORO CITY (Capital),Cagayan de Oro City Central I District,2nd District,School with no Annexes,,-CITY CENTRAL SCHOOL,127940.0,YacapinVelez Sts.,1/1/2000,Elementary,DepED Managed,Elementary,Combined Monograde and Multigrade,P 400 M or more,Highly Urbanized City,Urban,127940.0,429.0,404.0,564.0,503.0,585.0,542.0,590.0,539.0,582.0,545.0,624.0,580.0,578.0,569.0,74.0,37.0,,,,,,,,,,,,,3095000.0,127940.0,123.0,0.0,0.0,0.0,0.0,18.0,155.0,9.0,3095000.0
27925,126802,Dominorog ES,Region X,Northern Mindanao,BUKIDNON,BUKIDNON,Bukidnon,TALAKAG,Talakag II,1st District,School with no Annexes,,-,126802.0,"Dominorog, Talakag, Bukidnon Dominorog",1/1/1968,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,126802.0,19.0,18.0,23.0,28.0,40.0,39.0,52.0,35.0,31.0,34.0,25.0,22.0,15.0,17.0,4.0,4.0,,,,,,,,,,,,,214000.0,126802.0,8.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,214000.0
27928,126344,Don Carlos CES,Region X,Northern Mindanao,BUKIDNON,BUKIDNON,Bukidnon,DON CARLOS,Don Carlos I,3rd District,School with no Annexes,,Don Carlos Central E/S,126344.0,LamacLamac St. Don Carlos Sur,6/1/1955,Elementary,DepED Managed,Elementary,Monograde,P 55 M or more,,Partially Urban,126344.0,160.0,156.0,230.0,219.0,242.0,206.0,233.0,224.0,176.0,174.0,170.0,181.0,148.0,169.0,16.0,25.0,,,,,,,,,,,,,1080000.0,126344.0,40.0,0.0,0.0,0.0,0.0,9.0,43.0,0.0,1080000.0
